id_persona,primer_nombre,segundo_nombre,tercer_nombre,primer_apellido,segundo_apellido,genero,fecha_nacimiento,id_municipio,id_padre,id_madre
1000000261,Dori,Justina,Lilias,Pickett,Ullett,F,2013-02-09,1219,,
1000000262,Cori,Ermina,Dione,Doni,Savory,F,1997-10-02,804,,
1000000263,Faith,Nichole,Tasha,Houlridge,Joannidi,F,2012-08-11,1711,,
1000000264,Dorri,Perrine,Idalia,Beevor,Ibell,F,2005-07-26,109,,
1000000265,Michel,Cherri,Minette,Hamill,Lambie,F,2009-09-29,1312,,
1000000266,Veronica,Janna,Krista,Ferns,Gillogley,F,2008-03-31,1601,,
1000000267,Delcine,Alla,Margarette,Steketee,Huey,F,2009-12-18,1602,,
1000000268,Rania,Daria,Ashia,Colaton,Jerzak,F,2010-06-01,109,,
1000000269,Kittie,Sissy,Althea,Dewire,Neylon,F,2001-03-05,1706,,
1000000270,Robena,Jobey,Dierdre,Plummer,Slee,F,2010-06-07,924,,
1000000271,Harrietta,Margaux,Jaime,Colville,Van der Kruys,F,2018-01-08,805,,
1000000272,Martguerita,Verile,Kalli,Standbrook,McMurdo,F,2002-10-27,2105,,
1000000273,Julietta,Nert,Stephanie,Pilcher,Shuter,F,2009-11-21,1614,,
1000000274,Fionnula,Viv,Nessa,Bradneck,Huguenet,F,1990-08-30,1213,,
1000000275,Marchelle,Flori,Michelle,Marcos,Herche,F,1999-11-27,1715,,
1000000276,Haley,Cate,Lia,Belliss,Guppy,F,2009-01-28,1328,,
1000000277,Flossie,Jillian,Renelle,Caudrelier,Saleway,F,2008-02-07,1407,,
1000000278,Rozele,Atlante,Liz,Ashpital,Jansens,F,1991-07-29,1202,,
1000000279,Leela,Livia,Hildegarde,Jeannot,Dinkin,F,1997-05-15,1705,,
1000000280,Maxi,Lira,Roseanne,Sustins,Bramich,F,1993-11-15,1223,,
1000000281,Elmira,Twila,Luelle,Lippett,Alpin,F,2015-08-07,1416,,
1000000282,Veronika,Marie-jeanne,Francisca,Claessens,Saffran,F,1998-09-29,1008,,
1000000283,Amitie,Heda,Gretchen,Adao,Farthin,F,1998-06-16,1212,,
1000000284,Sissy,Nicoline,Theadora,Adamczyk,MacCorkell,F,2012-01-22,2008,,
1000000285,Henrie,Jennilee,Darleen,Tomaszewski,Gibben,F,1997-11-07,1411,,
1000000286,Aileen,Maressa,Leslie,Rosnau,Conry,F,2002-08-27,1210,,
1000000287,Heidie,Nicolle,Ernaline,Munn,Angric,F,2007-07-13,1406,,
1000000288,Carissa,Lotti,Claude,Brownbill,Braybrooke,F,2005-07-28,2010,,
1000000289,Nikaniki,Hanna,Wren,East,MacConnechie,F,1992-10-08,713,,
1000000290,Neile,Anne-corinne,Vera,Febre,Crofthwaite,F,2010-06-17,514,,
1000000291,Velma,Darelle,Sibella,Okell,Laurand,F,1996-03-22,1216,,
1000000292,Wanids,Katee,Ofelia,Creyke,Wahncke,F,2011-02-03,1804,,
1000000293,Blancha,Sonny,Windy,Averay,Baise,F,2004-08-12,1410,,
1000000294,Stace,Jacynth,Kimberly,Hurdidge,Bentick,F,2003-05-07,920,,
1000000295,Mariska,Helen,Violante,Da Costa,Poetz,F,1998-06-04,2001,,
1000000296,Elysha,Adda,Dyane,Hindhaugh,Beevers,F,1994-08-08,501,,
1000000297,Mabelle,Patty,Barbaraanne,Birtle,Sieur,F,1999-08-05,2214,,
1000000298,Blondy,Evangelina,Cynthia,Camellini,Soro,F,2006-01-09,1322,,
1000000299,Peri,Abigale,Lorelei,Dimanche,Minchi,F,2014-03-09,1217,,
1000000300,Gypsy,Constantine,Rennie,Giuroni,Tiffany,F,1998-07-09,201,,
1000000301,Abra,Sula,Teena,Lile,Kuhnert,F,2001-11-16,1325,,
1000000302,Willow,Diandra,Juanita,Kayne,Neames,F,2009-06-19,1711,,
1000000303,Nelli,Helaina,Tommy,Lippiett,Alexandre,F,1999-06-20,1020,,
1000000304,Evania,Jaquelyn,Sibelle,Eggar,Timbridge,F,2020-03-16,808,,
1000000305,Milzie,Myrah,Jemimah,Clericoates,McGreary,F,1998-09-01,1605,,
1000000306,Verna,Harri,Cynthy,Petley,Bravey,F,1992-01-21,1606,,
1000000307,Laural,Gianna,Andree,Hollier,Hubert,F,2001-07-26,1610,,
1000000308,Annelise,Billi,Lisha,Chomiszewski,Disman,F,1999-08-26,1212,,
1000000309,Ardelis,Aimil,Jessalyn,Astbury,Greeno,F,2018-10-14,1610,,
1000000310,Roxi,Jessamine,Chiquia,Bourton,Ditty,F,1992-03-10,1411,,
1000000311,Brynn,Chrissie,Susannah,Louthe,Nicolls,F,2019-12-29,107,,
1000000312,Maxy,Lanny,Betteanne,Moreing,McSpirron,F,1996-06-13,902,,
1000000313,Meridel,Lenka,Drusie,MacIntyre,Ivetts,F,1992-02-28,102,,
1000000314,Lian,Carmina,Doralyn,Mattei,Corselles,F,2019-03-05,1305,,
1000000315,Leila,Brana,Gianna,Flancinbaum,Fleg,F,2010-08-20,203,,
1000000316,Merci,Kimberly,Karon,Hariot,Fasey,F,2007-02-02,1107,,
1000000317,Sidonia,Feliza,Danni,Hedgecock,Duffy,F,2012-01-21,1106,,
1000000318,Doralyn,Luz,Shandeigh,Mulvenna,Clegg,F,2002-01-29,1004,,
1000000319,Tessy,Nari,Tomasine,Cecely,Fridlington,F,2009-02-20,1906,,
1000000320,Hilde,Anabal,Lisha,Harradine,Maymand,F,1996-07-01,314,,
1000000321,Evelina,Tedda,Editha,Perott,Postles,F,1994-05-29,1204,,
1000000322,Noell,Leticia,Margit,Heckner,Swede,F,2010-03-03,103,,
1000000323,Anita,Mersey,Joanna,Windibank,Askem,F,2006-12-25,511,,
1000000324,Samantha,Delores,Wilona,Knapton,Egar,F,2002-02-24,1406,,
1000000325,Prissie,Prudy,Alyse,Liddel,Saipy,F,2002-10-18,1617,,
1000000326,Bryn,Nancy,Heida,Buret,Marcombe,F,1990-10-19,301,,
1000000327,Fidelity,Berta,Edin,Hoggin,Moreno,F,2009-06-08,1329,,
1000000328,Harlie,Stephine,Giselle,Offiler,Buard,F,1992-02-24,1709,,
1000000329,Janenna,Dasha,Arlie,Streatfeild,Shovlar,F,2004-10-04,1107,,
1000000330,Caryl,Aurelie,Drucill,Meriguet,Batrop,F,2009-09-30,1502,,
1000000331,Valaria,Nissa,Kathrine,Harbour,Ducket,F,2011-04-19,903,,
1000000332,Claretta,Lynn,Manya,Trueman,Scholes,F,2012-03-23,2101,,
1000000333,Cherice,Denys,Donelle,Windram,Hugnet,F,2012-04-07,1419,,
1000000334,Terrye,Grete,Crista,Gannicleff,Foxten,F,1990-06-26,112,,
1000000335,Carlie,Myrtice,Di,Hugh,Gauler,F,2014-05-29,2002,,
1000000336,Sabine,Laura,Natala,Orfeur,Paine,F,2004-08-08,2010,,
1000000337,Freddi,Daveen,Aleece,Alenichev,Scanlin,F,1990-08-20,2204,,
1000000338,Gert,Stefanie,Enid,Flear,Jackett,F,2014-10-15,701,,
1000000339,Eachelle,Ardath,Jennica,Turner,Keay,F,2009-05-01,1407,,
1000000340,Myrta,Roze,Linda,Snedker,Cavey,F,2000-09-08,1420,,
1000000341,Joscelin,Emmy,Cora,Morecombe,Selby,F,1995-11-13,312,,
1000000342,Catrina,Dallas,Idelle,Kimblin,Bragger,F,2001-04-02,1104,,
1000000343,Sib,Winne,Hilde,Leonard,Floyd,F,2007-04-17,1311,,
1000000344,Carilyn,Kristina,Aimee,Bauckham,Ranscomb,F,2019-05-03,2107,,
1000000345,Lynett,Aline,Elaine,Swanson,Schneidau,F,2007-03-13,1905,,
1000000346,Karlotta,Lorilee,Chloris,Veivers,Vernall,F,2011-02-05,401,,
1000000347,Joeann,Mirilla,Clari,Waltho,Di Carlo,F,2017-04-01,705,,
1000000348,Bamby,Sandie,Annemarie,Whyman,Crim,F,2007-07-29,2106,,
1000000349,Petrina,Blaire,Electra,Knott,Beneteau,F,1990-07-08,1202,,
1000000350,Olive,Camella,Zelda,Feander,Naish,F,2010-02-27,1504,,
1000000351,Aubine,Ivy,Katina,Lutsch,Semark,F,2016-04-05,1324,,
1000000352,Bethena,Kayle,Tabbatha,Gehrts,Firby,F,2005-05-13,1003,,
1000000353,Emmaline,Jasmin,Chiarra,Tomaskunas,L'Hommee,F,2016-12-14,2103,,
1000000354,Star,Angy,Raven,Jacobowicz,Sokale,F,2004-02-19,1414,,
1000000355,Sophey,Emlynn,Sayre,McDavid,Downe,F,2015-12-06,206,,
1000000356,Jaymee,Dayle,Dorothy,Fysh,Minger,F,2002-11-10,1415,,
1000000357,Carley,Tildie,Genvieve,Franzelini,Gulliver,F,2019-06-04,706,,
1000000358,Davina,Luce,Rhianna,Wingeatt,Nozzolinii,F,2012-01-19,1222,,
1000000359,Veda,Lorita,Nissa,Cotterrill,MacAloren,F,2011-02-08,1712,,
1000000360,Allie,Carola,Merilee,Temporal,Bomb,F,2004-05-06,922,,
1000000361,Jenine,Noni,Caryn,Sebastian,Dalley,F,1996-06-30,1903,,
1000000362,Sue,Dorella,Lesley,Balshen,Laible,F,2010-05-07,1304,,
1000000363,Ilka,Vernice,Stacy,Dashwood,Hullbrook,F,2005-03-08,1109,,
1000000364,Janeta,Perla,Raeann,Clears,Kornyakov,F,2009-02-11,2005,,
1000000365,Meg,Hilda,Caryn,Kivlin,Inglesfield,F,1999-01-11,1418,,
1000000366,Ailis,Aleece,Jenifer,Aldcorn,Simukov,F,1994-07-13,1408,,
1000000367,Eolanda,Crystal,Ninette,Grabeham,Hards,F,2005-04-18,707,,
1000000368,Talya,Merrile,Adina,Darridon,Conew,F,1992-06-16,914,,
1000000369,Loralyn,Gizela,Imelda,Monckton,Chessman,F,2014-05-05,1906,,
1000000370,Harriott,Evita,Myrtie,Nutkin,Fippe,F,2003-01-04,902,,
1000000371,Marrissa,Margette,Shaina,Gommery,Sides,F,2012-05-01,204,,
1000000372,Yettie,Connie,Suellen,Hyslop,Uzelli,F,2012-07-12,305,,
1000000373,Ailee,Cassey,Benoite,Evamy,Harkins,F,2013-12-25,1325,,
1000000374,Joanie,Blondelle,Zondra,Holbury,Bartelot,F,2007-12-20,1708,,
1000000375,Kimberlee,Alta,Rosaleen,Allaway,Molson,F,1991-10-11,613,,
1000000376,Clarey,Kira,Gretel,Kingston,Joist,F,1993-05-06,1613,,
1000000377,Sonny,Mattie,Marissa,Crummy,Antley,F,2005-06-03,1608,,
1000000378,Berget,Maddy,Elane,Darton,Dunston,F,1991-05-20,203,,
1000000379,Margette,Marty,Nancy,Jimson,Squelch,F,1999-10-16,401,,
1000000380,Vonni,Michaeline,Nicola,Lambarton,Reicherz,F,1990-12-23,1609,,
1000000381,Lib,Gerhardine,Amanda,Davidow,Dikels,F,2008-10-08,714,,
1000000382,Ines,Jemmy,Linea,Ackred,Whatsize,F,2016-03-13,1107,,
1000000383,Amalie,Bernardine,Maryjane,Hallwell,Lidgate,F,2001-05-06,705,,
1000000384,Francesca,Dorelle,Annis,Bobasch,Skevington,F,1990-12-24,2010,,
1000000385,Emlynn,Rosita,Elsa,Wagen,Moakes,F,1995-07-09,1603,,
1000000386,Joellen,Aubrie,Regan,Galle,Cornborough,F,2000-05-25,1018,,
1000000387,Timi,Kaycee,Bobbe,Burgiss,Thomsen,F,2016-11-02,708,,
1000000388,Brigitte,Madge,Germaine,Le Conte,O' Concannon,F,1996-05-16,1018,,
1000000389,Calida,Glynda,Frank,Smillie,De Zuani,F,2013-08-10,611,,
1000000390,Jerry,Aprilette,Marty,Sessuns,Moine,F,1997-12-05,603,,
1000000391,Wenonah,Patrizia,Verene,Tabourier,Chasier,F,2017-12-25,708,,
1000000392,Faydra,Sarina,Fianna,Breen,Grunwald,F,1998-05-29,202,,
1000000393,Simonne,Alikee,Atlante,Humpatch,Hailey,F,1998-12-14,711,,
1000000394,Karlie,Risa,Corilla,Puckrin,Lawless,F,1997-11-21,113,,
1000000395,Hinda,Gilligan,Diann,Wilcinskis,Foat,F,2001-04-28,202,,
1000000396,Verene,Mona,Yvonne,Goodliff,McGrath,F,1996-06-02,1709,,
1000000397,Elsi,Sandye,Kaleena,Gisby,Liffe,F,1993-04-15,1101,,
1000000398,Amii,Orelia,Renie,Sherebrooke,Magor,F,2002-07-12,2004,,
1000000399,Zarah,Lana,Blake,Trusdale,Renison,F,2000-02-19,1402,,
