id_acta_nacimiento,primer_nombre,segundo_nombre,tercer_nombre,primer_apellido,segundo_apellido,genero,fecha_nacimiento,id_municipio,id_padre,id_madre
1000000042,Andras,Ulrick,Morris,Barfitt,Ivanyushin,M,1954-09-13,111,,
1000000043,Felic,Ewell,Rawley,Busek,Comelini,M,2007-02-20,2002,,
1000000044,Freeland,Neal,Bran,Selland,Geertsen,M,1913-02-12,2205,,
1000000045,Orazio,Lek,Aldo,Cunrado,Tawn,M,1981-01-13,2208,,
1000000046,Jone,Sergeant,Patin,Rannells,Riches,M,1925-02-03,716,,
1000000047,Lyle,Prentice,Eric,Thirlwall,Byart,M,1907-08-10,112,,
1000000048,Juan,Elihu,Brodie,Elcocks,Ridhole,M,1990-07-28,1104,,
1000000049,Addie,Eldon,Clint,Crosskill,Lugden,M,1929-03-28,1410,,
1000000050,Marcos,Walton,Briant,Cornish,MacCurlye,M,2013-12-05,915,,
1000000051,Neale,Byrann,Had,Van de Velde,Keam,M,1931-11-03,313,,
1000000052,Felizio,Lauren,Ron,Warricker,Recke,M,1921-09-12,710,,
1000000053,Evyn,Linn,Morley,Geockle,Dallas,M,1962-01-11,1002,,
1000000054,Tyler,Cobb,Bastien,Riddoch,Tomeo,M,1929-12-12,1012,,
1000000055,Lindsey,Cleavland,Cort,Gori,Kollatsch,M,1903-03-02,1205,,
1000000056,Christie,Cornall,Ryan,Server,Perryman,M,2009-08-02,706,,
1000000057,Rodolph,Moshe,Dewain,Pountney,MacNockater,M,1915-01-08,207,,
1000000058,Wain,Ariel,Odey,Wormald,Toynbee,M,1985-10-23,1404,,
1000000059,Sully,Rod,Mickey,Bines,Gabala,M,1948-05-31,1701,,
1000000060,Kin,Abbey,Charlie,Johnke,Tarquinio,M,1945-12-26,502,,
1000000061,Flory,Jeremiah,Aleksandr,Tabart,Kun,M,1908-12-02,1504,,
1000000062,Aristotle,Lamond,Kennan,Perotti,Fradson,M,1979-03-10,308,,
1000000063,Felix,Jedidiah,Bart,Casillas,Stook,M,1964-08-31,2009,,
1000000064,Wesley,Arin,Sunny,Quodling,Rhodus,M,1990-07-29,704,,
1000000065,Elton,Noah,Larry,Stoacley,Josephoff,M,1981-11-07,403,,
1000000066,Nicky,Tanny,Thorpe,Gilphillan,Herley,M,1934-11-04,1314,,
1000000067,Ave,Egbert,Randal,Eisold,Bringloe,M,1903-06-12,1801,,
1000000068,Munroe,Gun,Jamey,Light,McCorley,M,2005-05-05,1012,,
1000000069,Duffie,Obed,Sansone,Lambeth,Golland,M,1937-01-30,411,,
1000000070,Curtice,Guido,Sigvard,Davitt,Tunn,M,2019-11-12,1503,,
1000000071,Tan,Noland,Jeromy,D'Abbot-Doyle,Sinderland,M,1919-11-26,711,,
1000000072,Temple,Edvard,Zacharie,Boschmann,Glendzer,M,1976-10-18,2011,,
1000000073,Ulberto,Pattie,Rolland,Jakucewicz,Worsalls,M,2015-12-06,111,,
1000000074,Drugi,Pepe,Arnie,Grushin,Double,M,1925-02-21,2211,,
1000000075,Hirsch,Giraud,Benedetto,McGeachy,Bembrick,M,1951-08-12,1207,,
1000000076,Arin,Inness,Moses,Lough,Henri,M,1993-04-14,1705,,
1000000077,Kiel,Ferrell,Leroy,Elderton,Richemont,M,1980-08-11,1505,,
1000000078,Nathaniel,Abraham,Shep,Buney,Dittson,M,1954-03-21,601,,
1000000079,Kendal,Odell,Mile,Tregenna,Covil,M,1930-05-27,1708,,
1000000080,Sigmund,Munmro,Kurtis,Ackroyd,Pitrelli,M,2003-06-28,305,,
1000000081,Thor,Chalmers,Nicol,Froom,Twigger,M,1902-08-26,909,,
1000000082,Addy,Barnabas,Derk,Ovenell,Blaxter,M,1962-05-26,1616,,
1000000083,Clark,Perren,Lauren,Leamy,Shark,M,1941-05-27,716,,
1000000084,Sam,Ermanno,Iain,Corby,Virgin,M,1950-06-30,713,,
1000000085,Gail,Dwain,Kory,Haskell,Tumayan,M,1963-10-25,506,,
1000000086,Ron,Beau,Baudoin,Schoffler,Westlake,M,2006-04-09,1401,,
1000000087,Ewan,Bendix,Derby,Tilliards,Klewi,M,1989-06-11,1411,,
1000000088,Barron,Sergent,Boycey,Temprell,Adshead,M,1968-04-07,910,,
1000000089,Dewey,Udall,Logan,Iggalden,Whistan,M,1980-03-31,806,,
1000000090,Merill,Bevon,Vincent,Finnick,Infante,M,2019-07-25,108,,
1000000091,Standford,Harris,Maison,Mourant,Blues,M,1994-10-13,613,,
1000000092,Sherman,Amery,Yorgos,Gallon,Stimson,M,1981-04-04,917,,
1000000093,Emelen,Esra,Curry,Sammonds,Kmicicki,M,1934-07-23,2216,,
1000000094,Ignazio,Gilbert,Dame,Aucutt,Fitzpatrick,M,1959-10-07,1007,,
1000000095,Herold,Michail,Field,Chatwin,Schollick,M,2000-06-30,1109,,
1000000096,Lorry,Trefor,Abdel,Bartzen,Greve,M,2010-04-13,1609,,
1000000097,Warden,Carter,Massimiliano,Jonuzi,Longstreeth,M,1981-04-20,509,,
1000000098,Granville,Flin,Ritchie,Sivil,Darnbrough,M,1985-11-10,1303,,
1000000099,Rodge,Burty,Zacharias,Weyman,Mcwhinnie,M,1936-04-27,2213,,
1000000100,Tabbie,Tanner,Willis,Poore,Oakland,M,1934-11-28,1329,,
1000000101,Berky,Dolph,Nowell,Crosscombe,Menichillo,M,1993-01-13,1208,,
1000000102,Lazar,Benny,Pasquale,Grewes,Ruggen,M,1914-11-24,1704,,
1000000103,Goddard,Thorvald,Petey,Klaiser,Tooke,M,1986-04-04,1016,,
1000000104,Merry,Rocky,Conan,Lobell,Ranshaw,M,1908-06-02,1617,,
1000000105,Clarke,Mozes,Colby,Facher,Follitt,M,1903-10-03,913,,
1000000106,Devland,Whittaker,Damiano,Callendar,Caplis,M,1986-04-30,1328,,
1000000107,Ferdinand,Delainey,Joshua,Riglesford,Swaffield,M,1977-02-14,1414,,
1000000108,Gherardo,Georas,Shurlocke,Ingleby,Bonny,M,1953-07-22,1009,,
1000000109,Laughton,Curry,Duane,Vaudrey,Ingree,M,1931-10-27,913,,
1000000110,Donall,Cullin,Berkeley,Ranaghan,MacBarron,M,1954-08-21,1709,,
1000000111,Duke,Orion,Olin,Jayne,Clavering,M,1964-04-12,806,,
1000000112,Toby,Gustave,Cleveland,Jacobson,Burgot,M,1959-09-20,2102,,
1000000113,Red,Gaylor,Heinrick,Newlin,Zipsell,M,1964-09-10,505,,
1000000114,Ginger,Ennis,Hilario,Berrecloth,Cridge,M,1909-09-01,1101,,
1000000115,Evin,Ambrosius,Harp,Huc,Benedikt,M,1971-05-16,1206,,
1000000116,Abrahan,Jeremie,Ash,Roxburch,Makey,M,2016-04-06,208,,
1000000117,Aube,Patten,Jabez,Dugan,Weatherhogg,M,1982-11-22,1503,,
1000000118,Seward,Phillipe,Simone,Lidgard,Rennenbach,M,1951-05-18,2203,,
1000000119,Mick,Patten,Cleon,Stemson,Eallis,M,1961-06-27,505,,
1000000120,Chrotoem,Cullin,Harlen,Carnell,McDonnell,M,1955-04-01,409,,
1000000121,Kaleb,Britt,Gunter,Mounch,Emor,M,1971-05-03,711,,
1000000122,Wilfrid,Gonzales,Husein,Pettitt,Plume,M,1961-07-25,514,,
1000000123,Arman,Emmanuel,Randolph,Boyack,Outibridge,M,1915-11-14,614,,
1000000124,Bartholomew,Cyrill,Hastings,Hawkeridge,Moxley,M,1982-01-02,1419,,
1000000125,Hieronymus,Antonius,Edgar,Edgell,Castaner,M,1907-07-28,510,,
1000000126,Redford,Konstantin,Magnum,D'Errico,Leney,M,2003-03-04,108,,
1000000127,Roddie,Zolly,Jessie,Borthwick,Yandle,M,2021-10-16,1612,,
1000000128,Elvin,Demetris,Ephrem,Till,Flowerdew,M,1979-11-01,201,,
1000000129,Giorgio,Donn,Shaine,Foard,Lisett,M,1994-12-15,1307,,
1000000130,Sebastian,Curtis,Christie,Giraudot,Paddemore,M,1944-08-25,416,,
1000000131,Artur,Brodie,Jayson,Pulbrook,Ivie,M,1982-11-20,1901,,
1000000132,Wilburt,Mischa,Valentino,Bugg,Inchan,M,1965-09-21,1224,,
1000000133,Morris,Khalil,Saunders,Binding,McAuslan,M,1975-01-02,2209,,
1000000134,Kaleb,Bondon,Gerardo,Attrie,De Michele,M,1979-10-17,105,,
1000000135,Justin,Phil,Murray,Pedro,Parsall,M,1918-03-14,1317,,
1000000136,Marco,Filmore,Kalvin,Seadon,Tschierasche,M,1909-09-10,1019,,
1000000137,Maxim,Farlee,Hayden,Abisetti,Sheards,M,1986-09-30,710,,
1000000138,Trey,Jorgan,Tanner,Skudder,Dandy,M,2003-03-15,501,,
1000000139,Silvano,Barn,Vladimir,Perryn,Haynesford,M,1980-09-29,901,,
1000000140,Judas,Pace,Ches,Revens,Beers,M,1917-02-15,1414,,
1000000141,Thorn,Rudd,Claus,Sanford,Kitchiner,M,1978-04-01,1419,,
1000000142,Ingemar,Benedicto,Jens,Casarino,Cordeau,M,1942-08-01,2214,,
1000000143,Bogey,Vic,Noland,Blasli,Schwartz,M,1971-10-02,1705,,
1000000144,Gibbie,Aldis,Rufus,Rourke,Impleton,M,1974-08-27,905,,
1000000145,Daren,Llewellyn,Nikolaus,Quilty,Chieze,M,1942-07-12,1107,,
1000000146,Peyton,Gibby,Trefor,Farrens,Gerhardt,M,1952-07-22,311,,
1000000147,Skip,Reynard,Gorden,Bruyet,McAulay,M,2011-04-09,404,,
1000000148,Erny,Kyle,Lenard,Shapland,Fullerlove,M,2005-03-25,2002,,
1000000149,Orazio,Izaak,Bailie,Caughey,Higgen,M,1945-05-29,1020,,
1000000150,Isidor,Fairleigh,Nicko,Tender,Emmerson,M,1936-02-01,1330,,
1000000151,Terrance,Al,Say,Westcar,Giffon,M,1907-03-18,2002,,
1000000152,Glenn,Adolphus,Erek,Bowland,Nannini,M,1967-07-12,1905,,
1000000153,Rog,Gav,Brooke,Romans,Heddon,M,1918-12-18,1313,,
1000000154,Vince,Christos,Guy,Gowthorpe,Creeboe,M,1999-06-24,1213,,
1000000155,Ambrosi,Sigismundo,Cly,Leask,Bartosinski,M,2011-10-15,1611,,
1000000156,Stanly,Thibaud,Nehemiah,Bunston,Bremley,M,2008-04-21,701,,
1000000157,Erin,Ethe,Jermayne,Milsted,Eynald,M,1965-05-24,1613,,
1000000158,Emile,Derrick,Hillie,Goodsell,Bearman,M,1983-07-21,905,,
1000000159,Skipton,Perkin,Pall,Meedendorpe,Cotelard,M,2015-10-14,1616,,
1000000160,Fraser,Marve,Cristiano,Beese,Zahor,M,1989-12-12,1911,,
1000000161,Frannie,Teador,Riordan,Inseal,Caldero,M,1916-04-09,1314,,
1000000162,Janek,Arnuad,Stanton,Mellody,Perdue,M,1936-01-07,708,,
1000000163,Neron,Feodor,Gannie,Sealy,Spoerl,M,1945-05-23,1909,,
1000000164,Ralph,Jorge,Alejoa,Beddis,Hansmann,M,1940-11-26,2201,,
1000000165,Gottfried,Paxton,Xenos,Point,Stefanovic,M,1971-12-27,1902,,
1000000166,Mikael,Berkley,Sullivan,Beecker,Harbidge,M,1973-06-07,1206,,
1000000167,Buckie,Axe,Drud,Yashin,Veighey,M,1908-09-18,1014,,
1000000168,Israel,Farlee,Rafael,Arlet,Vell,M,1913-02-25,116,,
1000000169,Martin,Ulick,Sargent,Devlin,Hayesman,M,1962-09-07,1418,,
1000000170,Neddy,Obed,Farris,Stanbrooke,Sawley,M,1994-09-02,504,,
1000000171,Miles,Gardiner,Wye,Kindell,Humble,M,1923-09-18,401,,
1000000172,Mathe,Andie,Kaleb,Poskitt,Goldsby,M,2010-10-02,403,,
1000000173,Heywood,Hillery,Wyatt,Tinson,Hutsby,M,1979-12-22,1331,,
1000000174,Maje,Nollie,Gayle,Dillimore,Normadell,M,2020-02-16,208,,
1000000175,Wilton,Natal,Shawn,Wincott,Farmer,M,1947-12-02,110,,
1000000176,Shae,Tomaso,Barth,Lempel,Fitton,M,1952-03-20,803,,
1000000177,Fran,Augusto,Garfield,Keynes,Laba,M,2016-10-05,1217,,
1000000178,Jeffie,Arny,Ingram,Souter,Egleton,M,1975-11-19,1003,,
1000000179,Slade,Rutter,El,Carbonell,Gosalvez,M,1900-08-02,712,,
1000000180,Xavier,Francisco,Gaelan,Aylesbury,Fibbitts,M,1948-04-28,1227,,
1000000181,Archambault,Dieter,Guillermo,Kinnerk,Coggen,M,1954-01-28,1204,,
1000000182,Tyler,Shaughn,Frankie,Nudde,Botler,M,2008-11-02,1715,,
1000000183,Valentin,Karlan,Albie,Moland,Feitosa,M,2017-07-23,1203,,
1000000184,Allayne,Markos,Marlowe,Cater,Lovering,M,2010-06-01,414,,
1000000185,Thorstein,Pablo,Hart,Ivakhno,Tansill,M,1912-07-13,1004,,
1000000186,Hadleigh,Cornelius,Chariot,Sancias,Bazoge,M,2012-04-17,315,,
1000000187,Baron,Clevie,Khalil,Demetr,Bodechon,M,1952-02-20,1210,,
1000000188,Felice,Immanuel,Francklyn,Gannon,Whyler,M,1991-04-05,2212,,
1000000189,Blaine,Sig,Allister,Haveline,Stothart,M,1909-06-15,112,,
1000000190,Nicolas,Alvie,Lucias,Jolliffe,Rivelin,M,1958-04-07,1911,,
1000000191,Sonny,Maurise,Aubert,Shilladay,Blakeman,M,2012-07-26,717,,
1000000192,Holmes,Frankie,Guido,Ramble,Mackin,M,1902-01-17,1617,,
1000000193,Lon,Farly,Byrann,Ebbitt,De Blasi,M,1994-04-12,1312,,
1000000194,El,Merill,Khalil,Toppas,Cordie,M,1987-08-27,1413,,
1000000195,Warren,Emmerich,Oren,Milnthorpe,Moyse,M,1915-11-26,1301,,
1000000196,Harv,Dew,Brnaby,Crookston,Abrahmer,M,2015-12-23,1414,,
1000000197,Tim,Olivier,Marv,Gimblet,Bener,M,1927-02-02,412,,
1000000198,Dexter,Amble,Olly,Pilch,Scolli,M,2008-11-16,205,,
1000000199,Maxy,Bordy,Nicolais,Sporgeon,Setterington,M,1967-11-12,1322,,
1000000200,Egor,Pembroke,Anatol,Guyer,Striker,M,1947-04-05,1215,,
1000000201,Elihu,Nathan,Lorens,Adamek,Hamlen,M,1908-09-16,1212,,
1000000202,Tanney,Thorvald,Garv,Geck,Dovington,M,1944-09-12,2207,,
1000000203,Ezekiel,Fidel,Marlowe,Payn,Milillo,M,1966-02-22,708,,
1000000204,Jeffy,Rance,Errol,Pyke,Prestie,M,2004-12-03,205,,
1000000205,Reed,Herbert,Johnathan,Cherrison,Viste,M,1976-12-25,906,,
1000000206,Quint,Kendricks,Johan,Wank,Girkin,M,1964-01-26,110,,
1000000207,Adams,Selby,Murray,Attawell,Bice,M,1914-02-23,505,,
1000000208,Byrom,Leonid,Hendrick,Steers,Weaving,M,1998-08-11,922,,
1000000209,Nickola,Lazare,Skipton,Losselyong,Bearsmore,M,1980-12-29,1313,,
1000000210,Titos,Bill,Bat,Nussen,Doornbos,M,2015-08-12,1605,,
1000000211,Gabbie,Bo,Tyrus,Durie,Howlings,M,1992-11-15,2207,,
1000000212,Troy,Sayers,Syd,Bulbrook,Sprulls,M,1918-10-18,718,,
1000000213,Ansell,Raymund,Ely,Dimitriades,Fellos,M,1989-08-27,1608,,
1000000214,Dilly,Hunfredo,Temp,Marran,Tidbold,M,1946-02-13,1403,,
1000000215,Torrey,Jaye,Michel,Clemerson,Goosnell,M,1938-07-02,915,,
1000000216,Lazarus,Filbert,Alonzo,McKeney,Biswell,M,2009-06-28,1015,,
1000000217,Piotr,Caz,Burt,Shiel,Harp,M,1952-08-08,413,,
1000000218,Harland,Ebenezer,Michele,Shutler,Rathke,M,1952-04-17,805,,
1000000219,Giselbert,Cchaddie,Derrik,Cracknall,Abthorpe,M,1900-05-08,1405,,
1000000220,Aldridge,Dillie,Raimund,Tewelson,Campkin,M,1971-01-05,1706,,
1000000221,Stirling,Brion,Lammond,Feasley,Brookton,M,1903-02-24,921,,
1000000222,Moishe,Cecil,Keane,Bampfield,Minillo,M,1930-01-01,415,,
1000000223,Clayton,Edouard,Ulrick,Idney,Demare,M,1906-05-13,1715,,
1000000224,Adriano,Elmore,Gorden,Janota,Boteman,M,1937-05-16,716,,
1000000225,Jarrod,Tod,Gannon,Lorinez,Searjeant,M,2008-08-01,105,,
1000000226,Jaymie,Pail,Howie,Giles,Shaul,M,1993-12-19,605,,
1000000227,James,Cointon,Man,Clawsley,Heartfield,M,1916-04-20,1602,,
1000000228,Gerek,Jeno,Hermon,Bortolutti,Fahy,M,1918-08-11,612,,
1000000229,Jessie,Felic,Ewan,Finn,Passmore,M,2003-05-08,914,,
1000000230,Jerome,Bayard,Rockey,Brimble,Casacchia,M,1995-09-27,1014,,
1000000231,Skelly,Christopher,Linc,Ivankov,Breslauer,M,1934-04-13,1502,,
1000000232,Igor,Davy,Roarke,Ivamy,Ratley,M,1914-02-07,416,,
1000000233,Diarmid,Gerik,Kimble,Duffitt,Mulles,M,2003-11-23,110,,
1000000234,Eberhard,Tades,John,Whettleton,Mathes,M,1986-02-16,103,,
1000000235,Baldwin,Kingsley,Augustin,Meedendorpe,Lawtie,M,1946-09-11,1004,,
1000000236,Neils,Immanuel,Dory,Abernethy,Flaws,M,2013-06-23,2211,,
1000000237,Zacherie,Bart,Abey,Fattorini,Sheehan,M,2002-06-26,1805,,
1000000238,Avery,Kipper,Penrod,Angell,Hakonsen,M,1904-08-01,701,,
1000000239,Felix,Peder,Everett,Crunden,Edgson,M,1946-02-24,101,,
1000000240,Baillie,Claus,Lewie,Boydon,Abbot,M,1938-12-09,605,,
1000000241,Lyell,Julie,Siward,Pohlke,Girsch,M,1909-09-25,506,,
1000000242,Gilles,Packston,Jakie,Braams,Pringley,M,1954-01-03,1608,,
1000000243,Thebault,Zacharie,Matthiew,Burnsyde,Coventry,M,1981-03-20,1318,,
1000000244,Prentiss,Khalil,Lev,Winscom,Watterson,M,1974-04-26,1214,,
1000000245,Uri,Sol,Rusty,Ruddoch,Gerding,M,1947-02-04,708,,
1000000246,Timmie,Thibaud,Weston,Beddall,Meardon,M,1950-11-12,1909,,
1000000247,Andrew,Hilliard,Karim,Patnelli,Pauly,M,1902-07-25,302,,
1000000248,Tomkin,Chad,Foss,Nizard,O'Fairy,M,2001-08-30,1406,,
1000000249,Dell,Barr,Hunt,Costelloe,Cardoe,M,1978-08-28,1320,,
1000000250,Thurstan,Antonius,Sheffy,Georg,Lillecrap,M,1928-05-02,606,,
1000000251,Durward,Florian,Myrvyn,Ciric,Viggars,M,1974-01-31,1322,,
1000000252,Rees,Hagen,Ravid,Fotitt,Cuttings,M,2007-07-26,1418,,
1000000253,Alexio,Norman,Si,Erwin,Cranch,M,2001-10-16,2216,,
1000000254,Chicky,Morris,Nicolais,Willbond,Greig,M,1930-01-29,1009,,
1000000255,Alistair,Amby,Frank,Gittings,Puden,M,1960-06-04,716,,
1000000256,Holly,Carrol,Kingsly,Baszniak,Steele,M,1991-09-06,1606,,
1000000257,Valentine,Janek,Federico,Cartwright,Warkup,M,2011-09-29,201,,
1000000258,Forrest,Floyd,Butch,Durram,Antognozzii,M,1938-01-12,1109,,
1000000259,Gustaf,Garwood,Wood,Le Page,Whitchurch,M,1980-03-27,101,,
1000000260,Thorsten,Felix,Giacobo,Crichten,Volante,M,1949-05-17,1701,,
1000000261,Jaimie,Nathanial,Traver,Cloney,A'Barrow,M,1975-03-01,1316,,
1000000262,Tad,Barrie,Gustavo,Creenan,Lumby,M,1904-09-02,403,,
1000000263,Lenci,Nevin,Rodrigo,Cave,Gavrielly,M,1998-11-12,111,,
1000000264,Shelton,Kristoffer,Xenos,Teresi,Kingswoode,M,1992-07-13,709,,
1000000265,Geoffrey,Morty,Stacy,Vedmore,Serrurier,M,2007-10-12,1705,,
1000000266,Murray,Jessee,Alexei,Lerer,Dunston,M,2000-02-02,1703,,
1000000267,Duff,Gregorius,Wood,Stredwick,Norquoy,M,1962-12-29,104,,
1000000268,Isiahi,Lodovico,Grant,Griffitts,Wycliff,M,2020-04-14,1505,,
1000000269,Dante,Car,Mallory,Enochsson,Ebbutt,M,1900-05-23,411,,
1000000270,Mikol,Ara,Sheff,Kingscote,Henrionot,M,2017-06-05,1329,,
1000000271,Justino,Langston,Trip,Ager,Hallbord,M,1957-12-26,512,,
1000000272,Gino,Vincents,Nial,Ashbolt,Milillo,M,1991-01-06,2005,,
1000000273,Rip,Ray,Gun,Dohmer,Durnan,M,1949-08-02,2211,,
1000000274,Ive,Jasen,Mendy,Kleinplatz,McCome,M,1997-01-17,506,,
1000000275,Tuckie,Hercule,Townsend,Cleiment,Bendig,M,1923-12-20,1217,,
1000000276,Dunn,Myles,Sherwynd,Spacie,Jovasevic,M,1991-10-18,1216,,
1000000277,Ibrahim,Portie,Nevil,Francom,Moncrieffe,M,1958-07-02,609,,
1000000278,Calhoun,Oliver,Nils,Stenbridge,Bassingden,M,1928-06-24,1104,,
1000000279,Keith,Brooke,Kermy,Brelsford,Meers,M,1980-05-07,1615,,
1000000280,Tymon,Ludovico,Tomas,Stearns,Minogue,M,1909-05-18,1208,,
1000000281,Oswell,Prent,Dewey,Ferrarotti,Caldera,M,1981-11-19,709,,
1000000282,Link,See,Brandon,Sudell,Biggen,M,2006-01-17,610,,
1000000283,Aurthur,Wilden,Georges,Songest,McMillam,M,1968-03-05,1020,,
1000000284,Lee,Tucker,Saunders,Agates,McKernan,M,1952-01-26,505,,
1000000285,Wyatt,Austin,Esteban,Lackmann,Copp,M,1920-10-08,1328,,
1000000286,Lutero,Parrnell,Logan,Hoyt,Gimbrett,M,1910-04-07,703,,
1000000287,Dudley,Adams,Bertrand,Tuerena,Brockman,M,1913-09-03,1611,,
1000000288,Lucius,Garold,Keefe,Cassin,Humbatch,M,1901-12-22,2216,,
1000000289,Marijn,Humphrey,Rodrique,Carcas,Albarez,M,1931-07-22,1607,,
1000000290,Georgie,Kincaid,Logan,Starford,Tripe,M,1941-06-03,305,,
1000000291,Oliver,Ferdie,Rudy,Ferroni,Byrd,M,1905-02-20,2208,,
1000000292,Joaquin,Janek,Dale,Stollsteiner,Hundey,M,1998-12-14,301,,
1000000293,Skylar,Emerson,Barnebas,Birdwistle,Saunper,M,1928-07-02,1705,,
1000000294,Etan,Damian,Eldridge,Smee,Alliot,M,1900-07-07,903,,
1000000295,Dionisio,Skylar,Larry,Driscoll,McGurk,M,1979-09-20,2103,,
1000000296,Andrej,Brok,Izaak,Lechelle,Messam,M,1980-05-12,1910,,
1000000297,Janek,Christoper,Shepard,Brise,Duncanson,M,1918-01-21,1015,,
1000000298,Patricio,Agustin,Ky,Bovaird,Skamell,M,1926-12-28,602,,
1000000299,Way,Pip,Sumner,Ceney,Gariff,M,2005-05-27,502,,
1000000300,Reese,Sandor,Eddie,Laffin,Creegan,M,1984-06-13,105,,
1000000301,Norry,Shaine,Giorgi,Bletsoe,Addionizio,M,2014-07-25,1019,,
1000000302,Kenny,Boot,Benjy,Keane,Cronin,M,2006-10-04,206,,
1000000303,Sonnie,Graham,Taddeusz,Mighele,Thomassin,M,2014-08-23,1202,,
1000000304,Rourke,Tracie,Ari,Josofovitz,Boshell,M,1956-03-30,1310,,
1000000305,Marius,Ed,Cort,Mor,Donovin,M,1963-07-31,1708,,
1000000306,Hermon,Agosto,Mortimer,Demare,Tukely,M,1918-09-13,2007,,
1000000307,Shell,Walsh,Jareb,Nusche,O'Sharry,M,2005-01-11,1904,,
1000000308,Pete,Tremayne,Stanton,Mattin,Dooney,M,1918-03-16,1905,,
1000000309,Cordell,Ansel,Darbee,Jencken,Shakesby,M,1911-07-05,1420,,
1000000310,Cris,Willi,Sherlock,Paolacci,Jepps,M,1923-10-12,1217,,
1000000311,Jacky,Obed,Vail,Cramp,L' Estrange,M,1914-07-23,311,,
1000000312,Sal,Mannie,Sullivan,Ledamun,Seyffert,M,1937-12-08,1009,,
1000000313,Mikael,Francklin,Noe,Bizley,Gullen,M,1945-12-19,1311,,
1000000314,Jeramie,Raffaello,Edsel,Ghilardi,Clausson,M,1923-03-09,1107,,
